epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
80,13158,1.32384,0.73457,1.44112,0.71613,0.63575,0.70029,0.37856,1.56463,0.7612,1.57795,0.0179835,0.0059945,0.0179835,0.0059945,0.0179835,0.0059945,0.0179835,0.0059945
81,13319.4,1.30741,0.71917,1.42483,0.71729,0.63633,0.70023,0.37881,1.56362,0.76045,1.57726,0.0177287,0.00590956,0.0177287,0.00590956,0.0177287,0.00590956,0.0177287,0.00590956
82,13481,1.31047,0.7218,1.42834,0.71901,0.63651,0.70039,0.3795,1.56495,0.75996,1.57773,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
83,13642.4,1.29558,0.70888,1.42031,0.71698,0.63549,0.69964,0.37954,1.56565,0.75972,1.57841,0.0172167,0.00573891,0.0172167,0.00573891,0.0172167,0.00573891,0.0172167,0.00573891
84,13804,1.29141,0.70306,1.41609,0.71015,0.64151,0.69977,0.37965,1.56619,0.75912,1.57877,0.0169598,0.00565325,0.0169598,0.00565325,0.0169598,0.00565325,0.0169598,0.00565325
85,13966.2,1.28273,0.70475,1.40978,0.71449,0.64129,0.70007,0.37986,1.56694,0.75854,1.57899,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
86,14128.1,1.28572,0.70029,1.40888,0.71288,0.63983,0.70013,0.37919,1.56755,0.75815,1.57946,0.0164443,0.00548142,0.0164443,0.00548142,0.0164443,0.00548142,0.0164443,0.00548142
87,14290,1.27507,0.69098,1.39941,0.72165,0.63438,0.69953,0.37943,1.56766,0.75806,1.57926,0.0161859,0.00539529,0.0161859,0.00539529,0.0161859,0.00539529,0.0161859,0.00539529
88,14453.6,1.25729,0.6847,1.38747,0.72003,0.63672,0.69987,0.37955,1.56813,0.75855,1.57961,0.0159272,0.00530906,0.0159272,0.00530906,0.0159272,0.00530906,0.0159272,0.00530906
89,14613.2,1.26597,0.68374,1.39019,0.72245,0.63451,0.69994,0.37966,1.56877,0.75819,1.57993,0.0156683,0.00522275,0.0156683,0.00522275,0.0156683,0.00522275,0.0156683,0.00522275
